,City,Country,Date,Cloudiness,Humidity,Lat,Lon,Max Temp,Wind Speed
0,Tyrma,RU,2018-04-05,48.0,36.0,50.04,132.17,28.17,9.57
1,Harper,LR,2018-04-05,90.0,44.0,30.3,-99.24,60.8,6.93
2,Sao goncalo do amarante,BR,2018-04-05,0.0,88.0,-3.61,-38.97,78.8,2.24
3,Irtyshskiy,RU,2018-04-05,8.0,88.0,58.33,68.13,35.55,8.57
4,Puerto escondido,MX,2018-04-05,12.0,100.0,15.86,-97.07,81.9,3.2
5,Baykit,RU,2018-04-05,80.0,75.0,61.68,96.39,17.37,10.47
6,Kyren,RU,2018-04-05,56.0,50.0,51.68,102.13,17.37,2.42
7,East london,ZA,2018-04-05,0.0,88.0,-33.02,27.91,68.0,6.93
8,Cajabamba,PE,2018-04-05,92.0,97.0,-1.7,-78.77,45.72,1.41
9,Ngunguru,NZ,2018-04-04,0.0,93.0,-35.62,174.5,69.66,13.82
10,Gamba,GA,2018-04-05,56.0,96.0,28.28,88.52,28.17,1.07
11,Kobyzhcha,UA,2018-04-05,0.0,87.0,50.83,31.5,44.6,8.95
12,Caruaru,BR,2018-04-05,92.0,100.0,-8.28,-35.97,69.93,3.2
13,Washington,US,2018-04-05,75.0,38.0,38.9,-77.04,42.8,18.34
14,Luangwa,ZM,2018-04-05,0.0,72.0,-15.62,30.4,77.85,6.78
15,Cape coast,GH,2018-04-05,20.0,94.0,5.11,-1.24,73.08,2.75
16,Lethem,GY,2018-04-05,64.0,86.0,3.38,-59.8,74.97,3.98
17,Babra,IN,2018-04-05,12.0,31.0,21.84,71.3,96.48,7.34
18,Huron,US,2018-04-05,1.0,85.0,44.36,-98.21,24.8,2.98
19,Jiaxing,CN,2018-04-05,75.0,93.0,30.76,120.75,59.0,6.71
20,Karema,TZ,2018-04-05,32.0,94.0,-6.82,30.44,67.23,3.2
21,Hagi,JP,2018-04-05,75.0,82.0,34.43,131.51,60.8,5.82
22,Tete,MZ,2018-04-05,0.0,74.0,-16.16,33.59,79.83,6.44
23,Provideniya,RU,2018-04-05,0.0,52.0,64.42,-173.23,19.4,15.66
24,Cidreira,BR,2018-04-05,24.0,93.0,-30.17,-50.22,62.19,3.65
25,Uyuni,BO,2018-04-05,0.0,36.0,-20.46,-66.82,18.45,3.2
26,Noumea,NC,2018-04-04,75.0,88.0,-22.28,166.46,75.2,19.46
27,Lakselv,NO,2018-04-05,90.0,92.0,70.05,24.96,28.4,2.24
28,Maiduguri,NG,2018-04-05,0.0,36.0,11.84,13.15,69.21,4.43
30,Puerto baquerizo moreno,EC,2018-04-05,0.0,100.0,-0.9,-89.6,75.06,7.45
31,Redmond,US,2018-04-05,90.0,93.0,47.67,-122.12,48.2,1.97
32,Banff,CA,2018-04-05,48.0,61.0,51.18,-115.57,12.96,1.97
33,Hervey bay,AU,2018-04-05,100.0,100.0,-25.3,152.85,72.63,17.63
34,Taixing,CN,2018-04-05,92.0,86.0,32.17,120.02,53.55,14.5
35,Ordynskoye,RU,2018-04-05,0.0,97.0,54.37,81.9,29.88,7.45
36,Kokopo,PG,2018-04-05,12.0,93.0,-4.34,152.27,84.78,9.8
37,Bonfim,BR,2018-04-05,64.0,86.0,3.36,-59.84,74.97,3.98
38,Lakeway,US,2018-04-05,1.0,50.0,30.36,-97.99,60.8,3.42
40,Abu dhabi,AE,2018-04-05,0.0,39.0,24.47,54.37,84.2,2.24
41,Buala,SB,2018-04-05,88.0,92.0,-8.15,159.59,83.07,4.65
42,Bhinmal,IN,2018-04-05,12.0,27.0,25.01,72.27,95.4,9.01
43,Strezhevoy,RU,2018-04-05,0.0,64.0,60.73,77.6,35.6,15.66
44,Dargaville,NZ,2018-04-04,0.0,70.0,-35.94,173.86,66.42,10.8
45,El prat de llobregat,ES,2018-04-05,0.0,81.0,41.32,2.1,46.4,3.36
46,Hasaki,JP,2018-04-05,75.0,62.0,35.73,140.83,53.6,11.41
47,Lazdijai,LT,2018-04-05,56.0,90.0,54.23,23.51,50.67,10.25
48,Lunca corbului,RO,2018-04-05,12.0,61.0,44.68,24.76,56.34,2.86
49,Whitecourt,CA,2018-04-05,0.0,64.0,54.14,-115.68,7.02,6.44
50,Vagur,FO,2018-04-05,48.0,100.0,61.47,-6.81,40.5,22.32
51,Huarmey,PE,2018-04-05,88.0,90.0,-10.07,-78.15,63.18,3.09
52,Chuy,UY,2018-04-05,0.0,96.0,-33.69,-53.46,59.58,4.21
53,Bilma,NE,2018-04-05,0.0,30.0,18.69,12.92,64.53,6.11
54,Sovetskiy,RU,2018-04-05,0.0,97.0,56.76,48.47,29.43,5.21
55,Peniche,PT,2018-04-05,40.0,100.0,39.36,-9.38,46.4,2.24
56,Bubaque,GW,2018-04-05,0.0,100.0,11.28,-15.83,76.41,15.61
57,Kutum,SD,2018-04-05,0.0,15.0,14.2,24.66,71.01,13.27
58,Aksu,CN,2018-04-05,0.0,41.0,52.04,76.93,41.0,15.66
59,Buesaco,CO,2018-04-05,56.0,90.0,1.39,-77.16,46.62,1.41
60,Churapcha,RU,2018-04-05,32.0,65.0,62.0,132.43,35.19,9.01
61,Rio grande,BR,2018-04-05,48.0,100.0,-32.03,-52.1,63.9,4.65
62,Morshansk,RU,2018-04-05,0.0,85.0,53.44,41.81,31.41,3.42
63,Pringsewu,ID,2018-04-05,24.0,81.0,-5.36,104.98,84.96,3.42
64,Bull savanna,JM,2018-04-05,12.0,99.0,17.89,-77.59,66.69,1.97
65,Sirsi,IN,2018-04-05,0.0,49.0,14.62,74.84,90.81,4.09
66,Gravdal,NO,2018-04-05,75.0,100.0,59.79,5.78,35.6,16.11
67,Juneau,US,2018-04-05,20.0,63.0,58.3,-134.42,32.0,3.36
68,Bar harbor,US,2018-04-05,75.0,93.0,44.39,-68.2,37.4,5.82
69,Lac du bonnet,CA,2018-04-05,20.0,57.0,50.25,-96.06,5.67,4.43
70,Olsztyn,PL,2018-04-05,32.0,88.0,53.78,20.48,49.59,10.02
71,Port-gentil,GA,2018-04-05,40.0,83.0,-0.72,8.78,82.4,3.36
72,Puerto el triunfo,SV,2018-04-05,40.0,83.0,13.27,-88.55,78.8,1.12
73,Vao,NC,2018-04-05,36.0,100.0,59.1,26.19,44.37,8.23
